,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,1,"VILDOZA, L.",36:42,15,4/7,57,1/2,50,4/4,100,3,0,3,4,3,3,0,0,2,3,19
,2,"AALIYA, L.",14:34,6,3/5,60,0/0,0,0/2,0,3,0,3,0,0,1,0,0,3,1,2
,3,"MOUSSA, F.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"NEGRETE, A.",34:19,8,3/7,42,0/2,0,2/2,100,5,0,5,2,2,4,0,1,0,3,9
,6,"COPELLO, N.",10:39,7,1/3,33,1/2,50,2/2,100,1,0,1,0,0,1,0,0,2,1,3
,8,"GUERRA, L.",04:50,0,0/4,0,0/1,0,0/0,0,1,1,2,0,0,0,0,0,1,0,-4
,9,"LUGARINI, B.",32:28,16,5/8,62,0/4,0,6/9,66,9,0,9,4,4,1,0,0,4,11,29
,10,"POMOLI, N.",17:29,3,1/2,50,0/4,0,1/2,50,3,1,4,4,4,1,0,0,3,1,6
,13,"MONACCHI, T.",15:15,7,1/1,100,1/2,50,2/2,100,2,2,4,0,0,1,1,0,0,2,12
,14,"SAIZ, J.",28:29,14,6/9,66,0/0,0,2/5,40,2,3,5,1,0,0,0,0,3,5,16
,15,"HOLT, E.",05:16,0,0/0,0,0/2,0,0/0,0,0,0,0,0,0,0,0,0,1,0,-3
,22,"SALVETTI, L.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
