,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",03:33,0,0/1,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,-1
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",28:41,7,2/4,50,0/2,0,3/4,75,1,0,1,4,0,3,0,0,1,6,9
,9,"TORRIANI, M.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,10,"PIÑERO, F.",17:04,12,3/4,75,2/4,50,0/0,0,1,0,1,0,1,1,0,0,1,0,9
,11,"VILDOZA, J.",33:57,26,2/6,33,3/6,50,13/13,100,5,0,5,3,0,0,0,0,2,8,33
,12,"DELIA, M.",21:02,4,2/2,100,0/0,0,0/0,0,2,1,3,4,0,2,0,0,4,2,7
,17,"VEGA, S.",27:14,7,2/3,66,1/3,33,0/2,0,7,2,9,2,1,1,0,1,5,3,10
,19,"IBARGUEN, A.",19:39,11,5/5,100,0/0,0,1/1,100,1,1,2,0,0,0,0,0,1,2,14
,44,"CUELLO, M.",26:02,13,2/3,66,3/5,60,0/0,0,4,1,5,3,0,2,0,0,3,0,13
,99,"GIORGETTI, F.",22:48,12,0/2,0,3/4,75,3/4,75,7,0,7,0,0,2,0,1,4,3,11
