,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",16:01,9,3/3,100,1/2,50,0/1,0,3,1,4,3,1,1,0,0,1,1,14
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",25:53,3,0/1,0,0/2,0,3/3,100,0,1,1,0,0,2,0,0,4,4,-1
,9,"TORRIANI, M.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,10,"PIÑERO, F.",15:25,8,1/3,33,2/2,100,0/0,0,1,0,1,0,0,0,0,0,3,0,4
,11,"VILDOZA, J.",30:46,8,1/4,25,2/10,20,0/0,0,4,0,4,4,1,1,0,1,1,1,4
,12,"DELIA, M.",16:20,1,0/1,0,0/0,0,1/6,16,4,0,4,1,1,2,0,0,3,8,4
,17,"VEGA, S.",25:49,7,2/3,66,0/2,0,3/5,60,0,2,2,0,1,0,0,0,3,5,7
,19,"IBARGUEN, A.",23:40,11,3/7,42,0/0,0,5/10,50,3,3,6,2,1,0,0,0,4,5,12
,44,"CUELLO, M.",26:32,16,4/6,66,2/6,33,2/2,100,4,1,5,3,0,4,0,0,2,1,13
,99,"GIORGETTI, F.",19:35,5,1/1,100,1/3,33,0/0,0,3,0,3,0,0,0,1,0,0,0,7
