,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,1,"VILDOZA, L.",32:27,1,0/3,0,0/2,0,1/2,50,5,2,7,2,2,3,0,0,2,2,3
,2,"AALIYA, L.",01:39,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,1,0,-2
,3,"MOUSSA, F.",00:12,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"NEGRETE, A.",29:60,11,2/5,40,1/3,33,4/7,57,5,0,5,3,1,2,0,0,2,4,12
,6,"COPELLO, N.",12:59,4,1/3,33,0/0,0,2/2,100,3,1,4,2,0,2,0,0,3,1,4
,8,"GUERRA, L.",11:36,3,0/0,0,1/2,50,0/0,0,0,0,0,0,0,2,0,0,3,1,-2
,9,"LUGARINI, B.",35:35,22,8/10,80,2/7,28,0/0,0,4,0,4,3,1,0,1,0,3,4,25
,10,"POMOLI, N.",26:05,11,2/4,50,1/4,25,4/5,80,3,2,5,3,0,1,0,0,5,3,10
,13,"MONACCHI, T.",09:37,0,0/1,0,0/1,0,0/0,0,0,0,0,0,1,0,0,0,2,0,-3
,14,"SAIZ, J.",30:17,18,8/10,80,0/0,0,2/4,50,5,1,6,2,0,0,0,1,4,4,21
,15,"HOLT, E.",09:34,2,1/1,100,0/1,0,0/0,0,2,1,3,0,0,0,0,0,2,1,3
,22,"SALVETTI, L.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
