,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,1,"VILDOZA, L.",34:46,12,3/4,75,2/4,50,0/1,0,3,2,5,3,0,0,0,0,4,1,13
,2,"AALIYA, L.",21:15,5,2/4,50,0/4,0,1/2,50,1,0,1,1,0,0,1,0,5,1,-3
,3,"MOUSSA, F.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"NEGRETE, A.",30:01,22,5/11,45,2/2,100,6/7,85,5,0,5,3,0,0,1,0,1,6,29
,6,"COPELLO, N.",11:35,2,0/0,0,0/2,0,2/2,100,1,0,1,1,1,1,0,0,2,2,2
,8,"GUERRA, L.",17:51,15,5/8,62,1/4,25,2/3,66,1,2,3,3,1,0,0,0,1,3,17
,9,"LUGARINI, B.",25:46,14,3/5,60,2/4,50,2/4,50,3,0,3,1,2,0,0,0,3,5,16
,10,"POMOLI, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,13,"MONACCHI, T.",24:57,3,0/1,0,1/2,50,0/0,0,2,2,4,2,1,0,0,0,5,0,3
,14,"SAIZ, J.",21:32,10,5/8,62,0/0,0,0/0,0,1,2,3,0,1,1,0,0,2,2,10
,15,"HOLT, E.",12:18,7,2/4,50,1/2,50,0/0,0,1,1,2,0,1,0,0,0,2,0,5
,22,"SALVETTI, L.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
