,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,1,"VILDOZA, L.",36:15,7,2/4,50,1/6,16,0/0,0,2,1,3,2,2,2,0,0,1,0,4
,2,"AALIYA, L.",14:13,6,2/3,66,0/1,0,2/2,100,1,1,2,0,1,0,0,0,0,1,8
,3,"MOUSSA, F.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"NEGRETE, A.",32:20,23,5/9,55,1/3,33,10/12,83,6,0,6,5,2,4,2,2,0,8,32
,6,"COPELLO, N.",23:29,15,0/2,0,5/6,83,0/0,0,0,0,0,1,1,2,0,0,5,1,8
,8,"GUERRA, L.",07:00,2,0/2,0,0/0,0,2/2,100,0,1,1,1,1,0,0,0,3,2,2
,9,"LUGARINI, B.",31:41,8,1/3,33,2/3,66,0/0,0,4,1,5,4,1,5,2,0,4,4,12
,10,"POMOLI, N.",11:06,0,0/2,0,0/2,0,0/0,0,1,0,1,1,1,0,0,0,2,0,-3
,13,"MONACCHI, T.",09:42,4,2/2,100,0/0,0,0/0,0,0,1,1,0,0,0,0,0,3,0,2
,14,"SAIZ, J.",29:01,19,8/11,72,0/0,0,3/4,75,4,5,9,0,0,1,0,0,3,2,22
,15,"HOLT, E.",05:13,0,0/1,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,2,1,-2
,22,"SALVETTI, L.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
