,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",12:53,6,3/4,75,0/2,0,0/0,0,4,1,5,0,1,1,0,0,3,1,6
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",28:55,19,2/2,100,4/11,36,3/4,75,4,0,4,4,0,4,0,0,3,3,15
,10,"PIÑERO, F.",17:30,3,0/1,0,1/1,100,0/0,0,2,1,3,2,1,0,0,0,5,0,3
,11,"VILDOZA, J.",33:22,6,2/5,40,0/8,0,2/2,100,4,0,4,3,0,3,0,1,3,2,-3
,12,"DELIA, M.",13:10,2,0/0,0,0/0,0,2/8,25,3,0,3,1,0,1,0,0,2,4,1
,17,"VEGA, S.",31:38,11,5/6,83,0/3,0,1/2,50,6,4,10,1,2,1,1,0,5,3,17
,19,"IBARGUEN, A.",26:54,15,5/7,71,0/0,0,5/6,83,4,1,5,2,0,4,0,0,3,5,17
,20,"DROCEZESKY, T.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,44,"CUELLO, M.",17:11,5,1/3,33,1/3,33,0/0,0,1,0,1,0,3,1,0,0,0,0,4
,99,"GIORGETTI, F.",18:28,5,1/4,25,1/4,25,0/0,0,3,1,4,0,2,1,0,0,3,0,1
