,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,1,"VILDOZA, L.",34:11,11,3/5,60,1/6,16,2/2,100,6,0,6,6,4,2,0,0,3,2,17
,2,"AALIYA, L.",17:35,17,5/8,62,2/4,50,1/3,33,7,0,7,1,0,0,0,0,3,2,17
,3,"MOUSSA, F.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"NEGRETE, A.",30:23,18,4/6,66,3/7,42,1/2,50,2,1,3,3,1,1,0,0,3,3,17
,6,"COPELLO, N.",17:54,2,0/1,0,0/4,0,2/2,100,2,0,2,3,0,0,0,0,2,1,1
,8,"GUERRA, L.",04:13,0,0/0,0,0/0,0,0/0,0,1,0,1,3,1,1,0,0,3,0,1
,9,"LUGARINI, B.",24:55,8,4/4,100,0/3,0,0/2,0,5,1,6,0,0,0,0,0,3,3,9
,10,"POMOLI, N.",23:15,8,1/2,50,1/5,20,3/6,50,5,1,6,0,1,3,1,0,4,5,6
,13,"MONACCHI, T.",10:05,4,2/2,100,0/0,0,0/0,0,0,0,0,0,0,0,0,0,2,1,3
,14,"SAIZ, J.",25:38,7,3/5,60,0/0,0,1/2,50,1,2,3,1,0,1,0,0,2,2,7
,15,"HOLT, E.",11:51,7,1/1,100,1/1,100,2/2,100,0,0,0,0,0,0,0,0,1,1,7
