,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",15:56,12,3/4,75,2/3,66,0/0,0,2,0,2,0,1,0,0,0,1,3,15
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",21:38,9,0/2,0,3/7,42,0/0,0,0,1,1,1,1,2,0,1,0,1,4
,10,"PIÑERO, F.",07:54,1,0/2,0,0/1,0,1/2,50,2,0,2,0,0,0,0,0,2,2,-1
,11,"VILDOZA, J.",36:20,12,3/7,42,2/5,40,0/0,0,1,0,1,4,2,5,0,0,4,4,7
,12,"DELIA, M.",10:55,0,0/2,0,0/0,0,0/2,0,0,1,1,0,0,0,2,1,2,2,-2
,17,"VEGA, S.",29:58,16,4/4,100,2/3,66,2/3,66,3,3,6,1,2,1,0,0,4,2,20
,19,"IBARGUEN, A.",29:10,21,4/8,50,0/0,0,13/14,92,7,2,9,0,1,2,0,1,3,7,27
,20,"DROCEZESKY, T.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,44,"CUELLO, M.",22:05,5,1/2,50,1/2,50,0/0,0,2,1,3,3,0,4,0,0,0,1,6
,99,"GIORGETTI, F.",26:05,9,0/2,0,3/6,50,0/2,0,5,1,6,0,3,0,0,1,3,1,8
