,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",05:47,0,0/0,0,0/0,0,0/0,0,0,0,0,1,0,0,0,0,0,0,1
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",27:54,9,0/3,0,3/5,60,0/0,0,1,0,1,6,0,2,0,1,4,1,5
,9,"TORRIANI, M.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,10,"PIÑERO, F.",15:33,3,1/1,100,0/4,0,1/2,50,1,0,1,0,1,0,0,0,3,2,-1
,11,"VILDOZA, J.",34:13,22,6/7,85,1/3,33,7/7,100,11,2,13,5,0,3,0,0,2,6,38
,12,"DELIA, M.",17:42,4,2/2,100,0/0,0,0/4,0,2,0,2,0,0,0,0,0,2,4,4
,17,"VEGA, S.",34:13,9,1/4,25,2/7,28,1/4,25,7,1,8,1,1,2,0,0,4,4,6
,19,"IBARGUEN, A.",22:18,9,3/5,60,0/0,0,3/4,75,2,0,2,0,1,4,0,0,1,5,9
,44,"CUELLO, M.",27:53,8,1/3,33,2/5,40,0/0,0,1,0,1,0,1,1,0,0,2,2,4
,99,"GIORGETTI, F.",14:27,5,2/3,66,0/2,0,1/1,100,3,0,3,0,0,1,0,0,2,2,4
